eday,dish,mtfsh,co2e100g
1,Diced Tofu China-Town,FALSE,95.86844301037452
1,Dumplings with ricotta-citrus filling,FALSE,130.9174121221328
1,Kale-Hemp-Balls,FALSE,134.5871181583346
1,"Levantine Bulgur, soup of the day",FALSE,102.3735707214639
1,Cevapcici from the beef,TRUE,480.8395727272728
1,Chicken leg,TRUE,301.9038794416244
2,Halloumi,FALSE,487.8987072419106
2,Pasta with fried zucchini,FALSE,100.3085766129032
2,"Pea Stew, soup of the day",FALSE,59.93145470724328
2,Strudel with leaf spinach,FALSE,214.8942082913166
2,Red Beef Curry,TRUE,1035.01627051948
2,Vienna Style Pork Schnitzel,TRUE,494.8487565797616
3,"Coconut-mushroom stew, soup of the day",FALSE,123.2403700354449
3,Pumpkin falafel with yoghurt dip,FALSE,121.2857075
3,Steamed Noodles/Fried Apple,FALSE,130.4828443585781
3,Stuffed Peppers,FALSE,NA
3,Vegan Nasi Goreng with Soy Sprouts,FALSE,134.3832422156157
3,Pasta bolognese,TRUE,484.5463978430199
3,Saltimbocca from Turkey,TRUE,442.4235198125267
4,Asia-Reisbällchen,FALSE,119.0295142193549
4,Dumplings filled with figs,FALSE,342.4755298624755
4,Filled bread dumpling,FALSE,168.354896313956
4,"Potato goulash, soup of the day",FALSE,55.78457344080348
4,Bratwurst Beef or Nuremberger Style,TRUE,873.1564615381001
4,Roast Suckling Pig,TRUE,815.1694830079537
5,Apple Strudel with Vanilla Sauce,FALSE,101.4997520576132
5,Asian rice pan,FALSE,156.2721696158826
5,"Moroccan lentil soup, soup of the day",FALSE,84.58473979528536
5,Pasta allarrabiata,FALSE,121.5226285714286
5,Polack Filet  meunière/Fillet of Plaice,TRUE,341.1058372987488
5,sour cabbage-bacon lasagne,TRUE,368.8571103019068
6,Green-Thai-Currynoodles/Casserole,FALSE,90.19374063119267
6,"Mexican Rice Hot Pot , soup of the day",FALSE,214.9612614989921
6,Mushroom filled Ravioli,FALSE,133.1155344162484
6,Vegan Shakshuka with Couscous,FALSE,129.6882703308064
6,Beef Roulade,TRUE,2632.378581187701
6,Beer Brewers Steak,TRUE,562.1273091638384
7,Cannelloni,FALSE,152.351270505618
7,"Oriental Style Pan soy, soup of the da",FALSE,167.3653793610404
7,Quinoa-kale-strudel,FALSE,95.65356975036711
7,Vegan tomato curry with falafel (,FALSE,111.4746318821604
7,Calamari Rings,TRUE,216.428677484074
7,Turkey Strips in a Cream Sauce/Chicken,TRUE,343.298988508009
8,"Bulgur with carrots, soup of the day",FALSE,79.5747730762947
8,Mini Spring Rolls with Vegetable-rice,FALSE,137.664240324114
8,Pasta Vegetable Bolognese,FALSE,105.053042574398
8,Spellt pancakes,FALSE,201.517426504298
8,Munich style Goulash / Turkey,TRUE,1130.31024591223
8,Pork Loin Steak,TRUE,519.378488649262
9,Grilled Vegetables,FALSE,64.8940843860536
9,Mediteranean Tortellini al forno,FALSE,81.6995552978056
9,Potatoes filled with herbal Cream Cheese,FALSE,146.345008559477
9,"Wheat with Pumpkin, soup of the day",FALSE,64.8940843860536
9,Beef Domoda - Beef Roulade,TRUE,975.137106220801
9,Stuffed Cabbage Rolls,TRUE,206.351671535409
10,Asian Vegetables from the Wok,FALSE,108.46256340017
10,"Cauliflower-Potato-Curry, soup of the da",FALSE,58.8671797729311
10,Kritharaki,FALSE,98.2991659259259
10,South Tyrolean Mezzelune,FALSE,249.171795335975
10,Beef sirloin steak,TRUE,919.855355117139
10,Pollack Fillet Florentine-style,TRUE,394.050897141256
11,"Couscous with Pumpkin, soup of the day",FALSE,66.24051417689378
11,Pasta soya bolognese,FALSE,148.996132145749
11,Spicy Spanish Potato Tortilla,FALSE,180.992475978816
11,Roasted Maultaschen (filled pasta square,FALSE,190.508611013986
11,Quarter dug,TRUE,468.0947742491698
11,Rendang - Beef Ragout,TRUE,885.7923236419845
